Quantity,Value,Unit,Uncertainty
Kelvin-electron Volt Relationship                          ,8.617 3303 e-5, eV,0.000 0050 e-5          
Kelvin-hartree Relationship                                ,3.166 8105 e-6, E_h,0.000 0018 e-6          
Kelvin-hertz Relationship                                  ,2.083 6612 e10, Hz,0.000 0012 e10          
Kelvin-inverse Meter Relationship                          ,69.503 457, m^-1,0.000 040               
Kelvin-joule Relationship                                  ,1.380 648 52 e-23, J,0.000 000 79 e-23       
Kelvin-kilogram Relationship                               ,1.536 178 65 e-40, kg,0.000 000 88 e-40       
Kilogram-atomic Mass Unit Relationship                     ,6.022 140 857 e26, u,0.000 000 074 e26       
Kilogram-electron Volt Relationship                        ,5.609 588 650 e35, eV,0.000 000 034 e35       
Kilogram-hartree Relationship                              ,2.061 485 823 e34, E_h,0.000 000 025 e34       
Kilogram-hertz Relationship                                ,1.356 392 512 e50, Hz,0.000 000 017 e50       
Kilogram-inverse Meter Relationship                        ,4.524 438 411 e41, m^-1,0.000 000 056 e41       
Kilogram-joule Relationship                                ,8.987 551 787... e16, J,(exact)                 
Kilogram-kelvin Relationship                               ,6.509 6595 e39, K,0.000 0037 e39          
Lattice Parameter Of Silicon                               ,543.102 0504 e-12, m,0.000 0089 e-12         
"Loschmidt Constant (273.15 K, 100 Kpa)                     ",2.651 6467 e25, m^-3,0.000 0015 e25          
"Loschmidt Constant (273.15 K, 101.325 Kpa)                 ",2.686 7811 e25, m^-3,0.000 0015 e25          
Mag. Constant                                              ,12.566 370 614... e-7, N A^-2,(exact)                 
Mag. Flux Quantum                                          ,2.067 833 831 e-15, Wb,0.000 000 013 e-15      
Molar Gas Constant                                         ,8.314 4598, J mol^-1 K^-1,0.000 0048              
Molar Mass Constant                                        ,1 e-3, kg mol^-1,(exact)                 
Molar Mass Of Carbon-12                                    ,12 e-3, kg mol^-1,(exact)                 
Molar Planck Constant                                      ,3.990 312 7110 e-10, J s mol^-1,0.000 000 0018 e-10     
Molar Planck Constant Times C                              ,0.119 626 565 582, J m mol^-1,0.000 000 000 054       
"Molar Volume Of Ideal Gas (273.15 K, 100 Kpa)              ",22.710 947 e-3, m^3 mol^-1,0.000 013 e-3           
"Molar Volume Of Ideal Gas (273.15 K, 101.325 Kpa)          ",22.413 962 e-3, m^3 mol^-1,0.000 013 e-3           
Molar Volume Of Silicon                                    ,12.058 832 14 e-6, m^3 mol^-1,0.000 000 61 e-6        
Mo X Unit                                                  ,1.002 099 52 e-13, m,0.000 000 53 e-13       
Muon Compton Wavelength                                    ,11.734 441 11 e-15, m,0.000 000 26 e-15       
Muon Compton Wavelength Over 2 Pi                          ,1.867 594 308 e-15, m,0.000 000 042 e-15      
Muon-electron Mass Ratio                                   ,206.768 2826, ,0.000 0046              
Muon G Factor                                              ,-2.002 331 8418, ,0.000 000 0013          
Muon Mag. Mom.                                             ,-4.490 448 26 e-26, J T^-1,0.000 000 10 e-26       
Muon Mag. Mom. Anomaly                                     ,1.165 920 89 e-3, ,0.000 000 63 e-3        
Muon Mag. Mom. To Bohr Magneton Ratio                      ,-4.841 970 48 e-3, ,0.000 000 11 e-3        
Muon Mag. Mom. To Nuclear Magneton Ratio                   ,-8.890 597 05, ,0.000 000 20            
Muon Mass                                                  ,1.883 531 594 e-28, kg,0.000 000 048 e-28      
Muon Mass Energy Equivalent                                ,1.692 833 774 e-11, J,0.000 000 043 e-11      
Muon Mass Energy Equivalent In Mev                         ,105.658 3745, MeV,0.000 0024              
Muon Mass In U                                             ,0.113 428 9257, u,0.000 000 0025          
Muon Molar Mass                                            ,0.113 428 9257 e-3, kg mol^-1,0.000 000 0025 e-3      
Muon-neutron Mass Ratio                                    ,0.112 454 5167, ,0.000 000 0025          
Muon-proton Mag. Mom. Ratio                                ,-3.183 345 142, ,0.000 000 071           
Muon-proton Mass Ratio                                     ,0.112 609 5262, ,0.000 000 0025          
Muon-tau Mass Ratio                                        ,5.946 49 e-2, ,0.000 54 e-2            
Natural Unit Of Action                                     ,1.054 571 800 e-34, J s,0.000 000 013 e-34      
Natural Unit Of Action In Ev S                             ,6.582 119 514 e-16, eV s,0.000 000 040 e-16      
Natural Unit Of Energy                                     ,8.187 105 65 e-14, J,0.000 000 10 e-14       
Natural Unit Of Energy In Mev                              ,0.510 998 9461, MeV,0.000 000 0031          
Natural Unit Of Length                                     ,386.159 267 64 e-15, m,0.000 000 18 e-15       
Natural Unit Of Mass                                       ,9.109 383 56 e-31, kg,0.000 000 11 e-31       
Natural Unit Of Mom.Um                                     ,2.730 924 488 e-22, kg m s^-1,0.000 000 034 e-22      
Natural Unit Of Mom.Um In Mev/c                            ,0.510 998 9461, MeV/c,0.000 000 0031          
Natural Unit Of Time                                       ,1.288 088 667 12 e-21, s,0.000 000 000 58 e-21   
Natural Unit Of Velocity                                   ,299 792 458, m s^-1,(exact)                 
Neutron Compton Wavelength                                 ,1.319 590 904 81 e-15, m,0.000 000 000 88 e-15   
Neutron Compton Wavelength Over 2 Pi                       ,0.210 019 415 36 e-15, m,0.000 000 000 14 e-15   
Neutron-electron Mag. Mom. Ratio                           ,1.040 668 82 e-3, ,0.000 000 25 e-3        
Neutron-electron Mass Ratio                                ,1838.683 661 58, ,0.000 000 90            
Neutron G Factor                                           ,-3.826 085 45, ,0.000 000 90            
Neutron Gyromag. Ratio                                     ,1.832 471 72 e8, s^-1 T^-1,0.000 000 43 e8         
Neutron Gyromag. Ratio Over 2 Pi                           ,29.164 6933, MHz T^-1,0.000 0069              
Neutron Mag. Mom.                                          ,-0.966 236 50 e-26, J T^-1,0.000 000 23 e-26       
Neutron Mag. Mom. To Bohr Magneton Ratio                   ,-1.041 875 63 e-3, ,0.000 000 25 e-3        
Neutron Mag. Mom. To Nuclear Magneton Ratio                ,-1.913 042 73, ,0.000 000 45            
Neutron Mass                                               ,1.674 927 471 e-27, kg,0.000 000 021 e-27      
Neutron Mass Energy Equivalent                             ,1.505 349 739 e-10, J,0.000 000 019 e-10      
Neutron Mass Energy Equivalent In Mev                      ,939.565 4133, MeV,0.000 0058              
Neutron Mass In U                                          ,1.008 664 915 88, u,0.000 000 000 49        
Neutron Molar Mass                                         ,1.008 664 915 88 e-3, kg mol^-1,0.000 000 000 49 e-3    
Neutron-muon Mass Ratio                                    ,8.892 484 08, ,0.000 000 20            
Neutron-proton Mag. Mom. Ratio                             ,-0.684 979 34, ,0.000 000 16            
Neutron-proton Mass Difference                             ,2.305 573 77 e-30, ,0.000 000 85 e-30       
Neutron-proton Mass Difference Energy Equivalent           ,2.072 146 37 e-13, ,0.000 000 76 e-13       
Neutron-proton Mass Difference Energy Equivalent In Mev    ,1.293 332 05, ,0.000 000 48            
Neutron-proton Mass Difference In U                        ,0.001 388 449 00, ,0.000 000 000 51        
Neutron-proton Mass Ratio                                  ,1.001 378 418 98, ,0.000 000 000 51        
Neutron-tau Mass Ratio                                     ,0.528 790, ,0.000 048               
Neutron To Shielded Proton Mag. Mom. Ratio                 ,-0.684 996 94, ,0.000 000 16            
Newtonian Constant Of Gravitation                          ,6.674 08 e-11, m^3 kg^-1 s^-2,0.000 31 e-11           
Newtonian Constant Of Gravitation Over H-bar C             ,6.708 61 e-39, (GeV/c^2)^-2,0.000 31 e-39           
Nuclear Magneton                                           ,5.050 783 699 e-27, J T^-1,0.000 000 031 e-27      
Nuclear Magneton In Ev/t                                   ,3.152 451 2550 e-8, eV T^-1,0.000 000 0015 e-8      
Nuclear Magneton In Inverse Meters Per Tesla               ,2.542 623 432 e-2, m^-1 T^-1,0.000 000 016 e-2       
Nuclear Magneton In K/t                                    ,3.658 2690 e-4, K T^-1,0.000 0021 e-4          
Nuclear Magneton In Mhz/t                                  ,7.622 593 285, MHz T^-1,0.000 000 047           
Planck Constant                                            ,6.626 070 040 e-34, J s,0.000 000 081 e-34      
Planck Constant In Ev S                                    ,4.135 667 662 e-15, eV s,0.000 000 025 e-15      
Planck Constant Over 2 Pi                                  ,1.054 571 800 e-34, J s,0.000 000 013 e-34      
Planck Constant Over 2 Pi In Ev S                          ,6.582 119 514 e-16, eV s,0.000 000 040 e-16      
Planck Constant Over 2 Pi Times C In Mev Fm                ,197.326 9788, MeV fm,0.000 0012              
Planck Length                                              ,1.616 229 e-35, m,0.000 038 e-35          
Planck Mass                                                ,2.176 470 e-8, kg,0.000 051 e-8           
Planck Mass Energy Equivalent In Gev                       ,1.220 910 e19, GeV,0.000 029 e19           
Planck Temperature                                         ,1.416 808 e32, K,0.000 033 e32           
Planck Time                                                ,5.391 16 e-44, s,0.000 13 e-44           
Proton Charge To Mass Quotient                             ,9.578 833 226 e7, C kg^-1,0.000 000 059 e7        
Proton Compton Wavelength                                  ,1.321 409 853 96 e-15, m,0.000 000 000 61 e-15   
Proton Compton Wavelength Over 2 Pi                        ,0.210 308 910 109 e-15, m,0.000 000 000 097 e-15  
Proton-electron Mass Ratio                                 ,1836.152 673 89, ,0.000 000 17            
Proton G Factor                                            ,5.585 694 702, ,0.000 000 017           
Proton Gyromag. Ratio                                      ,2.675 221 900 e8, s^-1 T^-1,0.000 000 018 e8        
Proton Gyromag. Ratio Over 2 Pi                            ,42.577 478 92, MHz T^-1,0.000 000 29            
Proton Mag. Mom.                                           ,1.410 606 7873 e-26, J T^-1,0.000 000 0097 e-26     
Proton Mag. Mom. To Bohr Magneton Ratio                    ,1.521 032 2053 e-3, ,0.000 000 0046 e-3      
Proton Mag. Mom. To Nuclear Magneton Ratio                 ,2.792 847 3508, ,0.000 000 0085          
Proton Mag. Shielding Correction                           ,25.691 e-6, ,0.011 e-6               
Proton Mass                                                ,1.672 621 898 e-27, kg,0.000 000 021 e-27      
Proton Mass Energy Equivalent                              ,1.503 277 593 e-10, J,0.000 000 018 e-10      
Proton Mass Energy Equivalent In Mev                       ,938.272 0813, MeV,0.000 0058              
Proton Mass In U                                           ,1.007 276 466 879, u,0.000 000 000 091       
Proton Molar Mass                                          ,1.007 276 466 879 e-3, kg mol^-1,0.000 000 000 091 e-3   
Proton-muon Mass Ratio                                     ,8.880 243 38, ,0.000 000 20            
Proton-neutron Mag. Mom. Ratio                             ,-1.459 898 05, ,0.000 000 34            
Proton-neutron Mass Ratio                                  ,0.998 623 478 44, ,0.000 000 000 51        
Proton Rms Charge Radius                                   ,0.8751 e-15, m,0.0061 e-15             
Proton-tau Mass Ratio                                      ,0.528 063, ,0.000 048               
Quantum Of Circulation                                     ,3.636 947 5486 e-4, m^2 s^-1,0.000 000 0017 e-4      
Quantum Of Circulation Times 2                             ,7.273 895 0972 e-4, m^2 s^-1,0.000 000 0033 e-4      
Rydberg Constant                                           ,10 973 731.568 508, m^-1,0.000 065               
Rydberg Constant Times C In Hz                             ,3.289 841 960 355 e15, Hz,0.000 000 000 019 e15   
Rydberg Constant Times Hc In Ev                            ,13.605 693 009, eV,0.000 000 084           
Rydberg Constant Times Hc In J                             ,2.179 872 325 e-18, J,0.000 000 027 e-18      
"Sackur-tetrode Constant (1 K, 100 Kpa)                     ",-1.151 7084, ,0.000 0014              
"Sackur-tetrode Constant (1 K, 101.325 Kpa)                 ",-1.164 8714, ,0.000 0014              
Second Radiation Constant                                  ,1.438 777 36 e-2, m K,0.000 000 83 e-2        
Shielded Helion Gyromag. Ratio                             ,2.037 894 585 e8, s^-1 T^-1,0.000 000 027 e8        
Shielded Helion Gyromag. Ratio Over 2 Pi                   ,32.434 099 66, MHz T^-1,0.000 000 43            
Shielded Helion Mag. Mom.                                  ,-1.074 553 080 e-26, J T^-1,0.000 000 014 e-26      
Shielded Helion Mag. Mom. To Bohr Magneton Ratio           ,-1.158 671 471 e-3, ,0.000 000 014 e-3       
Shielded Helion Mag. Mom. To Nuclear Magneton Ratio        ,-2.127 497 720, ,0.000 000 025           
Shielded Helion To Proton Mag. Mom. Ratio                  ,-0.761 766 5603, ,0.000 000 0092          
Shielded Helion To Shielded Proton Mag. Mom. Ratio         ,-0.761 786 1313, ,0.000 000 0033          
Shielded Proton Gyromag. Ratio                             ,2.675 153 171 e8, s^-1 T^-1,0.000 000 033 e8        
Shielded Proton Gyromag. Ratio Over 2 Pi                   ,42.576 385 07, MHz T^-1,0.000 000 53            
Shielded Proton Mag. Mom.                                  ,1.410 570 547 e-26, J T^-1,0.000 000 018 e-26      
Shielded Proton Mag. Mom. To Bohr Magneton Ratio           ,1.520 993 128 e-3, ,0.000 000 017 e-3       
Shielded Proton Mag. Mom. To Nuclear Magneton Ratio        ,2.792 775 600, ,0.000 000 030           
Speed Of Light In Vacuum                                   ,299 792 458, m s^-1,(exact)                 
Standard Acceleration Of Gravity                           ,9.806 65, m s^-2,(exact)                 
Standard Atmosphere                                        ,101 325, Pa,(exact)                 
Standard-state Pressure                                    ,100 000, Pa,(exact)                 
Stefan-boltzmann Constant                                  ,5.670 367 e-8, W m^-2 K^-4,0.000 013 e-8           
Tau Compton Wavelength                                     ,0.697 787 e-15, m,0.000 063 e-15          
Tau Compton Wavelength Over 2 Pi                           ,0.111 056 e-15, m,0.000 010 e-15          
Tau-electron Mass Ratio                                    ,3477.15, ,0.31
Tau Mass                                                   ,3.167 47 e-27, kg,0.000 29 e-27           
Tau Mass Energy Equivalent                                 ,2.846 78 e-10, J,0.000 26 e-10           
Tau Mass Energy Equivalent In Mev                          ,1776.82, MeV,0.16
Tau Mass In U                                              ,1.907 49, u,0.000 17                
Tau Molar Mass                                             ,1.907 49 e-3, kg mol^-1,0.000 17 e-3            
Tau-muon Mass Ratio                                        ,16.8167, ,0.0015
Tau-neutron Mass Ratio                                     ,1.891 11, ,0.000 17                
Tau-proton Mass Ratio                                      ,1.893 72, ,0.000 17                
Thomson Cross Section                                      ,0.665 245 871 58 e-28, m^2,0.000 000 000 91 e-28   
Triton-electron Mass Ratio                                 ,5496.921 535 88, ,0.000 000 26            
Triton G Factor                                            ,5.957 924 920, ,0.000 000 028           
Triton Mag. Mom.                                           ,1.504 609 503 e-26, J T^-1,0.000 000 012 e-26      
Triton Mag. Mom. To Bohr Magneton Ratio                    ,1.622 393 6616 e-3, ,0.000 000 0076 e-3      
Triton Mag. Mom. To Nuclear Magneton Ratio                 ,2.978 962 460, ,0.000 000 014           
Triton Mass                                                ,5.007 356 665 e-27, kg,0.000 000 062 e-27      
Triton Mass Energy Equivalent                              ,4.500 387 735 e-10, J,0.000 000 055 e-10      
Triton Mass Energy Equivalent In Mev                       ,2808.921 112, MeV,0.000 017               
Triton Mass In U                                           ,3.015 500 716 32, u,0.000 000 000 11        
Triton Molar Mass                                          ,3.015 500 716 32 e-3, kg mol^-1,0.000 000 000 11 e-3    
Triton-proton Mass Ratio                                   ,2.993 717 033 48, ,0.000 000 000 22        
Unified Atomic Mass Unit                                   ,1.660 539 040 e-27, kg,0.000 000 020 e-27      
Von Klitzing Constant                                      ,25 812.807 4555, ohm,0.000 0059              
Weak Mixing Angle                                          ,0.2223, ,0.0021
Wien Frequency Displacement Law Constant                   ,5.878 9238 e10, Hz K^-1,0.000 0034 e10          
Wien Wavelength Displacement Law Constant                  ,2.897 7729 e-3, m K,0.000 0017 e-3          
