num;rms;felt;sm;magType;agency;cdi;gap;localTime;place;mag;mmi;nst;maxPGA
0;1.2;9;False;MLr_3;SGC;3;61.0;2023-08-22 05:32;Zapatoca - Santander, Colombia;2.7;;45;
1;1.0;47;False;MLr_3;SGC;4;49.0;2023-08-22 05:23;Medina - Cundinamarca, Colombia;3.5;;65;
2;1.2;17;False;MLr_3;SGC;4;62.0;2023-08-21 22:08;Zapatoca - Santander, Colombia;2.6;;43;
3;1.3;6;False;MLr_3;SGC;2;62.0;2023-08-21 08:20;Zapatoca - Santander, Colombia;3.7;;66;
4;0.7;5;False;MLr_3;SGC;4;41.0;2023-08-21 05:45;Guayabetal - Cundinamarca, Colombia;2.1;;29;
5;0.4;4;False;MLr;SGC;2;104.0;2023-08-21 02:46;Valledupar - Cesar, Colombia;2.8;;48;
7;0.8;4;False;MLr_vmm;SGC;4;41.0;2023-08-20 22:40;Santa Helena del Opón - Santander, Colombia;2.5;;88;
8;1.1;13;False;M;SGC;5;42.0;2023-08-20 21:28;Villavicencio - Meta, Colombia;2.8;;80;
9;1.0;5;False;MLr_3;SGC;3;46.0;2023-08-20 07:32;El Calvario - Meta, Colombia;2.9;;58;
10;0.8;7;False;MLr_3;SGC;5;46.0;2023-08-20 04:17;El Calvario - Meta, Colombia;2.2;;29;
12;1.0;6;False;MLr_3;SGC;4;42.0;2023-08-20 00:55;Villavicencio - Meta, Colombia;2.3;;44;
13;0.7;6;False;MLr_3;SGC;4;65.0;2023-08-19 23:46;San Juanito - Meta, Colombia;2.5;;27;
14;0.8;21;False;M;SGC;5;46.0;2023-08-19 21:10;El Calvario - Meta, Colombia;3.0;;40;
15;0.7;5;False;MLr_1;SGC;3;104.0;2023-08-19 19:58;Roldanillo - Valle del Cauca, Colombia;2.3;;10;
16;1.1;9;False;MLr_3;SGC;2;46.0;2023-08-19 17:53;San Juanito - Meta, Colombia;2.4;;42;
17;1.0;5;False;MLr_3;SGC;2;50.0;2023-08-19 08:18;Lenguazaque - Cundinamarca, Colombia;3.2;;54;
18;0.8;13;False;MLr_3;SGC;3;42.0;2023-08-19 06:56;Villavicencio - Meta, Colombia;2.8;;48;
19;0.8;4;False;MLr_3;SGC;3;64.0;2023-08-19 06:30;Villanueva - Santander, Colombia;2.5;;31;
20;0.8;27;False;MLr_3;SGC;4;43.0;2023-08-19 06:27;El Calvario - Meta, Colombia;3.0;;54;
21;1.1;4;False;MLr_3;SGC;4;60.0;2023-08-19 01:15;Zapatoca - Santander, Colombia;2.4;;42;
22;0.8;8;False;MLr_3;SGC;4;67.0;2023-08-18 23:15;Los Santos - Santander, Colombia;2.2;;25;
23;0.8;8;False;MLr_3;SGC;2;80.0;2023-08-18 21:04;Restrepo - Meta, Colombia;2.6;;84;
24;1.0;4;False;MLr_3;SGC;4;107.0;2023-08-18 19:54;Zapatoca - Santander, Colombia;2.2;;21;
25;0.6;11;False;MLr_3;SGC;4;138.0;2023-08-18 16:54;Los Santos - Santander, Colombia;2.0;;13;
26;0.8;7;False;MLr_3;SGC;5;43.0;2023-08-18 15:59;El Calvario - Meta, Colombia;2.2;;32;
27;1.1;84;False;MLr_3;SGC;4;42.0;2023-08-18 14:46;El Calvario - Meta, Colombia;3.2;;60;
28;0.9;63;False;MLr_3;SGC;5;42.0;2023-08-18 14:45;Guayabetal - Cundinamarca, Colombia;2.9;;45;
29;0.9;4;False;MLr_3;SGC;3;53.0;2023-08-18 14:26;Lenguazaque - Cundinamarca, Colombia;2.3;;30;
33;0.7;1427;True;M;SGC;6;47.0;2023-08-17 20:15;Restrepo - Meta, Colombia;5.1;7.0;99;25.460387
34;1.1;372;False;MLr_3;SGC;6;62.0;2023-08-17 13:16;Los Santos - Santander, Colombia;4.8;4.0;72;
35;1.1;203;True;M;SGC;6;41.0;2023-08-17 12:40;Guayabetal - Cundinamarca, Colombia;4.8;6.0;105;23.963834
36;1.0;767;True;M;SGC;6;46.0;2023-08-17 12:17;Villavicencio - Meta, Colombia;5.6;7.0;101;59.675425
37;1.0;4;True;MLr_3;SGC;2;77.0;2023-08-17 12:07;San Juanito - Meta, Colombia;4.5;6.0;52;2.916523
38;0.9;4260;True;M;SGC;6;47.0;2023-08-17 12:04;El Calvario - Meta, Colombia;6.1;7.0;96;101.949423
39;1.1;423;True;M;SGC;5;34.0;2023-08-17 08:28;Ituango - Antioquia, Colombia;4.3;4.0;91;4.097998
40;0.9;4;False;MLr_3;SGC;2;54.0;2023-08-16 21:26;Mesetas - Meta, Colombia;2.6;;49;
44;1.3;0;True;M;SGC;0;35.0;2023-08-14 10:55;Tarazá - Antioquia, Colombia;4.7;5.0;109;
49;1.3;114;True;MLr_4;SGC;4;34.0;2023-08-11 12:59;Ituango - Antioquia, Colombia;4.4;4.0;96;12.579915
51;1.1;7;False;MLr_3;SGC;4;64.0;2023-08-10 20:27;Los Santos - Santander, Colombia;3.8;;85;
56;1.1;14;False;MLr_2;SGC;3;22.0;2023-08-08 09:05;Guamo - Tolima, Colombia;3.2;;59;
61;1.3;12;True;MLr_3;SGC;3;60.0;2023-08-06 06:09;Zapatoca - Santander, Colombia;4.2;3.0;101;1.880635
62;1.1;21;False;MLr_3;SGC;5;41.0;2023-08-05 23:09;Quetame - Cundinamarca, Colombia;2.8;;57;
65;1.2;38;False;MLr_1;SGC;4;59.0;2023-08-03 22:07;Argelia - Valle del Cauca, Colombia;3.0;;83;
66;1.3;546;True;MLr_2;SGC;4;55.0;2023-08-03 17:09;El Cerrito - Valle del Cauca, Colombia;4.7;4.0;103;2.354315
69;0.6;410;False;MLr_2;SGC;4;98.0;2023-08-01 23:17;La Estrella - Antioquia, Colombia;2.0;;30;
71;1.4;5;False;MLr_3;SGC;4;65.0;2023-08-01 21:00;Campohermoso - Boyacá, Colombia;2.6;;32;
72;1.2;4;False;MLr_2;SGC;3;52.0;2023-08-01 03:42;Ituango - Antioquia, Colombia;2.5;;30;
76;1.0;26;False;MLr_3;SGC;4;58.0;2023-07-27 22:15;Zapatoca - Santander, Colombia;2.9;;45;